id,name,category,contact,description
1,"Age-Link Club","Club","https://www.instagram.com/agelinksuo/ | agelinksuo@gmail.com","At Age-Link SUO, we aim to bridge the gap between the younger and older generations through social gatherings in hopes of tackling generational stigmas, of fighting isolation between students and seniors, and allowing for our communities to learn and grow with one another. Join us for our events, gatherings, and galas awaiting your presence and participate in fun activities, indulge in snacks, and make new friends!"
2,"Earth & Environmental Science Course Union","Academic","https://www.instagram.com/eesccourseunion/ | eesc.cu@gmail.com","The Earth and Environmental Science Course Union is a course union and interest group for students in the Department of Earth Environmental and Geographical Sciences at UBCO. Our goal is to cater to the wellbeing, academic, and career development of our membership by offering events and services that are based on our three founding principles: Professional and Academic Development, Community Engagement, and Student Advocacy."
3,"English Course Union","Academic","englishcourseunion@gmail.com | discord.gg/english_cu","The English Course Union (ECU) is for students in the Department of English and Cultural Studies at UBC Okanagan. We strive to provide our members with an opportunity to enhance their experience within the English Program through a welcoming community of like-minded bookworms, engaging events, and overall support during their journeys in academia."
4,"Filipino Student Association","Cultural","fsasuo@gmail.com | https://www.instagram.com/fsasuo/","The FSA @ SUO aims to celebrate diversity and Filipino culture! We host potlucks, dance performances, and cultural showcases."
5,"Grow n Glow Club","Wellness","ggc.suo@gmail.com | https://www.instagram.com/ggc.suo/","Welcome to the Grow n Glow Club! We host self-care events for UBCO students. Become a member to get all the latest updates on our events! We are happy to have you :)"
6,"K-Pop Dance Team","Performance","kpopdanceteam.suo@gmail.com | https://www.instagram.com/kdt.suo/","Kpop Dance Team (KDT) is a club that offers weekly drop-in dance classes, performance rehearsals, performance opportunities, K-pop/Korean culture-related events, and social gatherings for all K-pop fans and anyone interested in learning more about K-pop and Korean culture."
7,"Okanagan Anime Club","Social","animemangaclub0923@gmail.com | https://www.instagram.com/okanime_club/","The Okanime Club is for people interested in anime, manga, and other Japanese pop culture! Join us for our events to find people to share your interests!"
8,"Okanagan Ice Cream Club","Social","okanaganicecreamclub@gmail.com","We give out FREE ice cream to UBCO students! Come find us on campus for a sweet treat and meet new friends."
9,"Psychology Course Union","Academic","psychologycourseunion@gmail.com","Welcome to the Psychology Course Union at the University of British Columbia Okanagan Campus! We connect psych majors with research opportunities, study groups, and career advice."
10,"Unite Dance Club","Performance","unitedanceclub1@gmail.com | https://www.instagram.com/udcdanceclub/","We are a student-run organization that hosts weekly drop-in classes, providing UBCO students with an opportunity to express their love for dance. Our classes are inclusive of all levels of experience across many genres, including but not limited to Hip-Hop, Contemporary, Jazz, Ballet, and Tap."
11,"Karaoke Club","Social","karaokeclubsuo@gmail.com","Join a lively and inclusive space for music enthusiasts to gather and share their love for singing! Bad singing is highly encouraged."
12,"Okanagan Motorsports","Tech","okanaganmotorsports@gmail.com","Cars. Community. Competition. We are building the leaders of tomorrow by designing and racing cars."
13,"Sustainability Course Union","Academic","bsustcourseunion@gmail.com | https://www.instagram.com/sustcourseunion/","The Sustainability Course Union at UBCO aims to create a community of students pursuing sustainability studies. By organizing educational, career and social events, we strive to empower our members to become effective change-makers."
14,"Anthropology Course Union","Academic","anthrocourseunion.suo@gmail.com","The Anthropology Course Union is a place for anybody majoring/minoring in anthropology or anybody interested in the field. We started this Course Union primarily to create a community where people can connect with their peers, professors, and other professionals."
15,"Okanagan Marine Robotics","Tech","okmarinerobotics@gmail.com | https://www.instagram.com/okmarinerobotics/","The fastest growing and most innovative engineering design team at UBC Okanagan; the only team working on Autonomous Technology within robotics and underwater vehicles."
16,"Coding Club","Tech","codingclub.inbox@gmail.com","The Coding Club aims to provide a space where individuals with passion and interest in coding come together, collaborate on projects and exchange Knowledge. Most Important of all Enjoy Coding!!"
